vehicle_year,make,model,vehicle_type,license_number,vehicle_state,serial_number,usdot_number,empty_weight,registered_weight
1989,Mazda,MX-6,dictumst,HNX 7778,CA,LI67 0610 4RKC P3S3 HVGC Z,4519545,17000,11139
2012,Nissan,Cube,risus,ESZ 8051,NE,GB92 DFFQ 8519 3562 6507 76,5525647,18554,14727
2005,Toyota,Land Cruiser,nunc,ECV 2942,NC,BE16 4656 4197 8016,2605400,15123,17189
2004,Infiniti,M,diam neque,YKD 4141,CA,IE62 AGPP 1334 6332 0924 98,6806202,15804,4466
2000,Dodge,Durango,magna bibendum,DSQ 6084,MD,MK28 996G PB2Z CSZW I87,1013598,11773,2563
1994,Mazda,MX-3,ultrices,RGC 3801,WA,SK19 6408 5784 6986 5712 6483,8673719,11976,15104
2000,Mercedes-Benz,SL-Class,penatibus,BMK 2327,DC,IT50 Y401 7815 246T 8WFG 68FX KZB,2679135,9413,18242
2011,Porsche,Panamera,scelerisque quam,RWE 2794,NV,IE74 OSJP 1308 4341 0355 97,9543911,3827,5966
1986,Mercury,Cougar,semper est,XOR 5390,IA,MK53 405M UU2N YR6O Y40,6242479,7862,13007
1994,Dodge,Ram Wagon B350,vivamus in,OLK 1237,AL,DE77 1665 7260 2467 6563 54,7540333,6081,7830
1972,Pontiac,Grand Prix,suspendisse,GAP 8493,SC,BA42 9887 9234 7398 9097,6137375,6305,12640
1999,Mitsubishi,3000GT,sed vestibulum,FXM 8085,PA,IL89 4229 2635 4455 5909 790,4126067,18406,18425
2007,Ford,Fusion,non lectus,DYO 3566,OH,FR37 5001 1905 01GT CYYF GMTG D89,5482461,18328,17425
2007,Rolls-Royce,Phantom,quisque,UGY 3790,OK,RO25 QUKZ PSGZ VUQL NOII GMJH,7313798,3065,4114
2010,Smart,Fortwo,turpis adipiscing,MOG 0238,CA,PS16 CGGK 2DEN R2JI IVAY 2J3B 0SWG P,0216907,14490,19084
2001,Land Rover,Discovery Series II,turpis eget,MHI 2508,MI,AT98 0182 4537 0609 7198,1375653,3852,18438
1993,Dodge,D150 Club,varius nulla,YCD 0847,CT,PL12 2497 3733 9941 4799 0869 1069,7933101,12855,7687
1999,Plymouth,Voyager,dui nec,TPK 0884,IN,BE07 3763 6813 1386,9731350,19716,3582
2000,Chrysler,Sebring,nunc,GZW 2520,CA,GE62 GM76 6713 4705 1228 17,6773709,9767,19570
1993,Mercedes-Benz,300E,eu,TXI 7542,GA,SA59 75T3 I95J WN8U YCNT ZS9Z,3955283,7348,17574
2005,Volvo,S40,adipiscing,DGK 4203,AL,BG57 ZVGP 2796 29JT ZBB2 NI,8922561,17192,14170
2002,Lexus,ES,lorem quisque,SLY 0175,MO,FR83 3624 1489 784H YQYV E8E4 Q34,2302959,4004,4114
1992,Dodge,Grand Caravan,vel,VYN 4568,OR,BG18 ENFD 7288 82XP D8PS RX,2405869,18418,16874
1999,Volvo,C70,odio,NCO 2646,LA,IT69 X162 6233 414O KVP2 EAN7 9ZC,7893900,8802,18462
2006,Chevrolet,Corvette,eu tincidunt,SBC 8638,VA,IT45 E353 3913 748R NJZA RD6P EI3,1153318,6864,17523
1994,Dodge,Viper,vitae mattis,WEH 0271,CT,LT63 6225 8490 7133 6121,1850009,8280,16311
2000,Chevrolet,Prizm,fringilla rhoncus,QLK 6067,PA,LV62 AXUQ UCKL JN09 RFIC H,9204019,4497,16804
1955,Chevrolet,Corvette,lacinia,WBN 9020,TX,GL89 9017 5996 3885 13,7393266,2590,6845
2012,Infiniti,IPL G,quam a,WNB 8220,CA,IS31 6454 1271 7213 4756 2143 79,4773806,12308,19914
2008,Saab,9-7X,sed,SDL 2357,MI,FR67 9051 1341 26KF 7CX7 H1ZV 347,7189183,11314,18212
2012,Toyota,Prius,odio consequat,GEW 0564,VA,PK34 NZBH V6GA PSQH R6RL MJRT,5506593,4786,15280
1996,Chevrolet,Astro,cras mi,OYB 7879,PA,FR39 5010 3225 80LG LPW5 1NZB V52,7061755,3873,4382
2007,Chrysler,Sebring,odio,RKP 6858,IL,FR05 8348 8142 20R0 5AUA HHUW U03,3077423,2856,15696
1999,Nissan,Altima,neque,AUC 4904,DC,FR56 0647 7597 12EP 48W2 UNUW R74,8953274,2959,11760
1993,GMC,1500 Club Coupe,nunc commodo,XDA 4452,PA,FR21 5078 9557 57ZJ CODM XNA0 J80,5078022,4705,10941
2001,Volkswagen,GTI,et,OUK 1095,NM,SI70 4923 3203 7929 079,2115234,18112,18153
1961,Austin,Mini Cooper,proin risus,THD 3964,TX,FR35 9503 5214 47J3 TSKS Q7N5 C58,0176893,17702,3796
2011,Tesla,Roadster,sit amet,CTY 0048,VA,BA12 5112 5421 8866 0440,2289419,16422,11312
1999,Oldsmobile,LSS,vestibulum ante,BAL 2712,PA,FR65 2440 2269 91UL 9RS3 WWCT 616,7961114,14275,13807
2010,Infiniti,FX,platea,TPB 7863,DE,FR69 4394 4235 27A2 YKHW 6A6D G96,4021456,4560,18467
2000,Saab,9-5,cubilia curae,VWM 2557,TX,HU30 4452 0408 8766 0550 1240 4790,2256168,6975,4675
1997,Subaru,Impreza,id sapien,LQH 4436,CO,SI10 8950 5014 8012 075,4131190,17327,15023
2011,Audi,TT,ut,JAI 5977,TX,TN96 4175 4687 2888 6310 2377,1214226,11465,7343
1995,Geo,Prizm,curabitur in,WHV 3584,MI,BR19 8268 3635 5200 6812 3933 218E M,1913375,4200,10929
2011,Toyota,Sequoia,est,CNW 1162,GA,FR66 9606 9649 64MG VZJP DDFB X59,2393658,5688,17329
2011,Ford,Focus,volutpat in,BHD 2649,AR,FR06 0568 0283 93AF JRSO 8701 S11,8825206,11458,19552
1993,Nissan,Quest,quisque,UVE 7178,TX,AT48 0091 7198 3257 5493,0881857,7315,5562
2008,Isuzu,i-370,at,WVK 6570,IL,FR68 4192 8707 75P1 WOD6 2GTJ H59,3404094,2425,11114
2002,Hyundai,Santa Fe,duis aliquam,TOR 9883,OH,TR12 3244 8SWW VTJO ZXZ6 O9OY V8,3773253,18304,3750
1996,Toyota,Tercel,dictumst,CLH 5037,IN,AD16 7626 1560 8YMT FMBA QZCN,6814448,10433,17124
2012,Nissan,NV2500,non interdum,FIT 9679,TX,LI15 3067 9UMU GH9J JIVZ 0,9468477,4921,6690
1998,Mazda,626,lectus,KCE 2709,MA,AT87 9835 8260 8004 9840,5449583,13562,4969
1972,Pontiac,Grand Prix,mi pede,TYM 6422,OH,GE73 CH42 7915 6346 3211 27,0322513,14634,12595
2006,Maserati,Quattroporte,eget,JAL 2240,UT,AT82 4278 6019 1008 0802,6057011,5816,6291
2011,Mitsubishi,Outlander Sport,euismod,DQX 6987,CA,CY52 3124 2405 QY0P YGGW 5BSB ZI6E,2531230,12636,15295
2005,Hyundai,Tiburon,ipsum praesent,PFU 2057,CA,ME14 9715 6568 2889 3647 05,1446994,17386,17883
2006,Cadillac,Escalade ESV,ut suscipit,EVZ 6080,DE,GR52 3202 680Z QEJC 2NQI 7SNW XLL,4165674,5345,8916
1985,Mazda,RX-7,morbi,NLR 4998,FL,CR79 5980 1251 0089 0374 8,0141440,18144,14916
1995,Hummer,H1,nisl,HTR 3328,CA,SM47 V347 4038 2269 ZQG5 T9IC LFR,4999782,13886,9882
2006,Lamborghini,Gallardo,integer,NUK 0490,FL,LT77 8258 8268 5792 9833,4801754,16740,9405
2012,Smart,Fortwo,libero,WMD 7094,TX,TN49 8524 6537 9725 4937 0775,0058609,2544,13555
2001,GMC,Sonoma,neque,AHY 6390,WA,SM33 U901 7322 644J RVW9 S8CB RCE,4881627,2111,4205
2010,Aston Martin,Rapide,tellus nulla,GZC 0747,TN,MC59 7889 5585 90NW AQH9 REBM L03,3341412,12528,13376
1990,Mercury,Sable,semper porta,GKE 5720,TX,FR11 3101 0212 53XP V6LB NDDY D53,4875539,12237,11543
2010,Volvo,S80,non sodales,KGE 4383,NC,MU32 BKLP 4236 7339 1869 3493 897C JO,9105148,14412,4091
2006,Buick,LaCrosse,venenatis non,MPK 3889,DC,KW38 RQVO 3AHX OFQR 4JBU OI0Q 8TCH DO,8368304,7983,4281
2008,Toyota,Tacoma,gravida,SQH 9407,CO,NO26 8226 6351 509,1908680,12752,10887
2001,GMC,Savana 1500,eget orci,NMB 5813,NY,BA48 7513 7368 3986 2247,9708520,14608,15484
2008,Cadillac,Escalade ESV,nam,AWP 8868,CT,SE52 3853 8856 2459 5346 2219,3895890,13667,19065
1994,Acura,Vigor,dis,NWH 9692,NV,FR59 6364 9811 13PH TNFS QPIO F04,0202340,14543,14691
2006,Mazda,Tribute,volutpat,BYH 5778,IN,HR24 7415 5740 2480 4487 9,7396677,13055,15234
2000,Toyota,Corolla,proin at,OIP 8268,NC,MR78 0553 7014 3759 8163 0845 897,1758689,6739,9498
2000,Dodge,Ram Van 1500,leo,EQA 0956,CA,SM66 O104 4546 597M GSWR 9CCW GLN,7308015,13484,11110
2009,Audi,TT,sed,PNI 7042,FL,FR79 2945 4655 3545 UBRM KL22 F60,5894306,5894,9390
1997,Acura,RL,non ligula,TAW 0578,NY,LI61 0566 1UNH DHNR DKUH O,8195892,9143,19548
1997,Infiniti,QX,consequat lectus,GJN 9299,MO,FO59 8444 2547 0325 28,9334929,14258,18804
2007,Suzuki,XL7,ipsum,UKP 5965,MO,FR50 6656 2838 25CS APF0 VXMK U64,7973496,17712,16716
2007,Kia,Sedona,vestibulum sed,JHF 6780,AL,TN39 1109 4984 5087 0072 7974,9660042,7671,9399
2010,Hummer,H3T,quam nec,WIO 2976,MO,FR63 0072 7523 40J0 DXQJ BGTS R05,7140827,18203,5312
2006,Infiniti,G,blandit,ZUR 5464,WA,SK41 5530 0442 3931 2616 0669,4715511,9850,8990
1992,Dodge,Ram Van B150,sem duis,SPB 6645,DC,PS73 VDWR YOMT S3VQ ZNNJ T1IZ OJN6 6,8032989,14724,6833
2006,Buick,LaCrosse,justo,UGH 0659,IL,PL67 2085 0944 2776 4017 5331 1052,5022144,4544,7389
2003,Buick,Park Avenue,hac habitasse,RMX 3112,KY,BR13 6279 9081 4608 8673 6183 496C Q,2123210,10882,3672
2009,Infiniti,G37,eu est,XNY 0742,IL,SE23 2733 7161 1683 8013 9350,5780063,16378,7338
1990,Subaru,Loyale,magna at,FTV 4732,WA,BE09 9823 0577 8255,0884817,9720,5670
1964,Chevrolet,Corvette,pede,LGS 1964,CA,HR34 3514 3330 8928 1970 3,2905161,6531,2504
2000,Dodge,Grand Caravan,laoreet ut,LHQ 7514,MO,HU08 7383 6638 4782 1076 9841 2322,0736708,17676,17679
2004,Hyundai,Elantra,dolor sit,OUG 1131,TX,LB30 4899 CIQ4 CQND DYYU KE3W GZS8,3208438,14876,5922
2011,Nissan,Armada,quam,AJX 2143,DC,FR33 9205 9035 13MA 2PAX ZYCW 494,6166272,10035,13945
2011,Honda,Accord Crosstour,duis mattis,WEY 4000,CA,SE24 9713 5732 3264 3650 7077,0209701,8850,12030
1995,Chevrolet,Beretta,at velit,YJE 3993,DC,TR68 1979 1V1L ACVC 5WFJ EJVT AA,2608112,7967,2231
1995,Chrysler,Town & Country,donec diam,MSV 9110,CA,IT16 X923 9276 4559 RTX1 I8EP WBU,0425943,11139,14979
2001,Lexus,ES,proin interdum,OHW 2073,CA,GL29 4119 2954 3736 84,3811161,3988,6199
1995,Toyota,Celica,ipsum primis,LGY 8970,FL,RS78 7896 4328 2560 9581 50,6373369,10002,14156
1987,Mazda,626,nulla sed,NUK 2542,OK,FR27 2293 2493 33LF JUDB JJXD V60,7648826,13931,11137
1996,Jaguar,XJ Series,nam,YGR 5594,TX,GI27 GJPY 4MNQ HQMS QMS5 SUY,8353843,2246,17353
1998,Ford,F250,justo,AHV 9827,LA,FR50 8773 5791 644R MVPT QKW5 L72,8259505,6075,12050
2006,Pontiac,Montana,amet,WCU 4594,WA,FR67 1751 2243 066W KP7P P0UF 984,4642932,17771,10381
2005,Hyundai,Elantra,metus arcu,IEL 2351,MN,GL21 5109 8896 9007 26,7364102,19718,6823
2012,Chevrolet,Silverado 1500,erat id,MAG 8811,NJ,ME67 7264 4910 0136 6718 28,3081309,16200,14921
1993,Mazda,RX-7,morbi,NKT 0920,MS,KW19 YSII 6Z5G 32LK SCRK NHBX 6WQE ZE,7426868,16790,15104
1989,Mercury,Tracer,rhoncus,RMY 4817,DC,BE64 2575 1769 8415,2386380,2251,10365
1999,Mercury,Cougar,fringilla rhoncus,DMW 3672,IN,FR23 5001 4457 16MY KSLO WLVF R81,0966945,2111,2909
1991,Maserati,430,integer ac,HVY 1021,TX,MR68 4885 2311 8431 3101 8515 563,3645999,15544,9322
1993,Cadillac,Sixty Special,mauris,TGL 9525,NY,BG84 VHVZ 3649 80TX BSC9 QD,5999287,18821,13297
2008,Lamborghini,Reventón,eu nibh,OBI 6291,AL,AZ93 KOVI AGVH 7PBP 3OJX AVPN GOAV,5014179,5378,17208
2002,Ford,E-Series,vivamus in,PGK 5223,OH,FR23 1095 7015 60EI 1QVM RVXM D55,3334389,11006,8552
2012,Nissan,Armada,pellentesque,EAS 2445,VT,TN88 4210 9335 1189 7533 3591,6784818,6439,19363
1968,Shelby,GT500,dui,RQC 1704,HI,HR19 6510 3712 2134 6784 4,9609155,4012,12135
2002,Pontiac,Grand Prix,ac,ROQ 0025,IN,DO86 FPJX 3582 5115 6469 4024 2315,2587524,5840,18746
2009,Mitsubishi,Endeavor,dignissim vestibulum,VEM 3537,PA,GT14 LYN3 PPMH ZTWA 6FJZ BYZP BMFA,1703249,14805,14004
2011,Chevrolet,Silverado 3500,ut,POG 0260,CO,PL09 2119 6337 8572 4065 2578 8601,1092289,12321,15736
2012,Subaru,Tribeca,vestibulum eget,HSZ 0032,TX,SE15 6851 2686 2202 5713 5380,3946924,16022,13553
2010,Bentley,Continental Super,morbi porttitor,IOJ 1675,KS,FR20 0963 1413 07SZ L6F3 LMY0 E22,0810379,12781,3740
2009,Cadillac,DTS,sapien,WOA 5998,AZ,PT75 1771 5727 7270 0462 4714 7,8608363,5178,14665
1996,Jeep,Cherokee,volutpat in,LYC 0302,OH,AE95 8037 8209 4030 9215 086,8133548,18272,3486
1985,Buick,Somerset,aliquam quis,QEC 1790,KY,KW96 GKAK HQQ6 TGQ0 7YI3 ADQ4 8LC3 1W,5404862,14527,9862
2004,Ford,Thunderbird,luctus ultricies,ZIP 2138,MI,HU72 2908 2344 2694 7173 3218 5039,7834199,10943,10852
1988,Ford,Laser,id ligula,KDP 8006,NJ,BE54 0888 3345 0787,5464638,5750,15868
2008,Chevrolet,Silverado 1500,purus,XOL 6324,TN,IS63 9798 8061 2469 1847 8347 94,3553465,7390,15241
2008,Nissan,Titan,erat,RBE 9125,MI,PL42 3742 2346 8583 8165 7932 3290,4695417,4456,4423
2009,Volkswagen,CC,aliquam,UYP 8971,FL,FR83 4242 0274 081B HRXB ZIRA A24,4564942,8379,5077
1973,Chevrolet,Corvette,et ultrices,YAT 4365,NE,GR21 5651 833U OEPE CMYC U2BT S5A,6175380,17171,4547
1999,GMC,Envoy,rutrum neque,EHC 9966,AL,VG62 DZMK 9263 8773 2883 8070,8350126,11361,18095
2011,Ford,Crown Victoria,pellentesque,AWY 9948,FL,SI45 8298 9707 3165 870,1959540,10433,15193
1997,Mitsubishi,3000GT,orci,LFZ 4866,IA,GI16 MAAS YZ6V DGEY PW7X Q0X,6264997,9511,15636
1985,Ford,Ranger,sem,JFU 5694,MD,CH02 0348 0RVJ 4SE1 ULCV B,8035401,12827,3863
2003,Dodge,Neon,augue vel,YIJ 1105,AZ,NL76 VBWC 4720 6454 17,2213152,15686,10656
2004,Mercury,Monterey,eu,DMP 0219,TX,FI80 0827 9518 3856 88,4442836,19786,19021
2005,BMW,X5,in,YTZ 1919,AZ,PS35 FOWJ DRMD RSSB HBCJ TNDL ZQBP P,3197834,15015,4656
1999,Mercedes-Benz,SL-Class,est,JAS 6011,TX,RO86 QBBR W6JV ZEAG J9OD RTBW,8174858,11869,17243
1998,Mazda,626,sodales scelerisque,PIG 5216,TX,KW51 CFKN R1SX EDA0 XCON ZOPD CNHM FG,2803697,2299,19035
2006,Suzuki,Swift,ornare consequat,WYA 3421,TX,FR53 8220 3388 367F NQ1T PO5U 634,7186147,10396,10260
2006,Maserati,Quattroporte,integer,QMR 2831,TX,CH73 8395 61KL DNZA DBSE J,1996683,15230,2184
2012,Porsche,911,nam,MCG 0023,NY,SK35 3413 4981 9464 7792 3576,6902308,3941,16151
2007,Lexus,LX,nulla integer,FXY 7338,NE,MD73 OS48 FQEV QPHX FI8X BKXV,9996631,12152,18571
1986,Ford,Ranger,augue aliquam,EPI 2080,SC,FR32 8010 2536 04HI VENR EJJW H00,8223866,4477,19399
2003,Volkswagen,Touareg,hac,NOM 7687,MO,LV03 NXOQ YKPN YREC JOV5 V,8893875,6298,6713
2007,Nissan,350Z,nulla mollis,ATZ 8788,WV,SI58 2291 9278 1639 997,2075895,8577,8663
2011,Lincoln,MKZ,iaculis justo,LZP 6616,IL,AE68 5515 9906 7248 9782 460,2093799,2981,9943
2010,Volkswagen,Golf,proin risus,QTZ 7418,NV,FR16 9897 4071 61VY FKDP 7KC3 E50,7182937,17620,2791
2006,Ford,F-Series,pretium,AMB 7835,TX,NL67 GEQX 5092 3251 77,0693867,7304,2329
2004,Ford,Focus,proin,NAW 5601,KS,FR85 6427 5646 52ZI GWA5 29J6 567,2148423,17191,11083
2009,Dodge,Dakota,a ipsum,MIC 2755,NY,GB42 UPFY 6925 2737 7322 36,3293418,19277,18811
2006,Mazda,MPV,nec molestie,OVU 3278,NY,GL03 3017 7469 2606 55,6763070,17434,5534
1995,Mercury,Grand Marquis,augue,SDE 6426,WV,BE06 8774 5604 6131,9580928,9329,16040
1990,Lotus,Esprit,duis,QEM 1930,CO,BG33 TSZG 4403 13D1 MI63 3M,3637905,16486,17841
1987,Pontiac,Sunbird,mattis egestas,FGO 9501,CA,GE97 YW51 1667 7808 1611 85,5271399,16520,10657
2006,Saturn,Ion,vestibulum sed,OVE 6993,MA,FR77 9704 3654 82RE ZU7D H1EQ 205,2926611,3877,9704
2012,Mazda,Miata MX-5,ut erat,RLM 6587,VA,KZ56 063F 4THU FXZV KD4S,3206356,18861,6457
2009,Mercedes-Benz,M-Class,sapien,QNV 3728,NY,FR10 8126 8079 8117 TGNE BYD0 H66,2833148,3400,13613
1987,Buick,Skylark,consequat,MPH 3656,IN,BG63 UELK 3606 90VA VISD GI,4953720,8997,12533
2003,Nissan,Xterra,leo,RTA 2165,TX,FR53 5219 1941 09NA I3UH Z117 Q90,5238225,3694,8330
1987,Mitsubishi,Galant,vel lectus,QIV 8199,IA,SK50 0400 0531 5176 4164 5825,2631925,3610,19149
2009,Cadillac,Escalade,dapibus,OGK 9495,VA,LU51 779Q BM7U IK8M AVOH,4903057,18253,12718
2000,Dodge,Neon,vulputate nonummy,LFR 5742,PA,AT47 0215 9416 5479 2579,6484712,17420,10523
1987,Mercedes-Benz,SL-Class,cursus vestibulum,CAY 4316,CA,AE30 8873 3238 8264 4423 490,0280959,12196,14854
1990,Mitsubishi,Eclipse,et ultrices,YQB 3149,NM,GR06 6626 254V DEIO BT9Q J14R ARK,8442392,7391,2818
2001,Suzuki,Esteem,volutpat eleifend,XQN 5700,NC,CY07 7942 2218 EPFV PLBN T6HR OWQP,3656678,7784,9585
2001,Mitsubishi,Diamante,morbi ut,GXB 5787,CA,FR47 5836 0504 98IN 9JZ3 WFOX 661,1997828,15081,15210
2011,BMW,5 Series,at,AKV 5875,OR,DO62 1CIS 9371 7117 6601 7807 7517,8671868,13447,8561
1996,Mazda,626,metus arcu,NPL 1525,TX,PK45 NFCW 8JKN 48HD 0OPQ JBID,6155385,16554,10527
2009,Mazda,CX-7,pharetra magna,FPX 0758,OH,CH66 2336 64EI ANKZ 9HNC 3,6724008,14878,13145
1992,Acura,Vigor,cubilia,YJD 4804,MI,IL28 0337 8081 0666 3460 915,2101631,16774,2309
1984,Ford,Bronco II,nam,FBD 0477,OK,FR36 8660 9554 69VQ RNMO EOLB O90,8858516,2437,7796
2004,Cadillac,XLR,sapien,MJP 3927,NJ,SK41 2739 7878 2437 8030 6216,9157375,9579,17141
2011,Toyota,Prius,pede,SAW 0913,OK,FR68 8463 9384 61ZA 1N3O VJEL O37,1471047,7406,6133
2009,Saturn,Astra,lacus,VNA 5579,LA,FR93 4097 1687 79PY VBW3 0LKO 629,8513197,13609,18478
1999,GMC,Suburban 1500,ipsum,WPR 0220,IL,FR34 2487 4595 30PR 96QO 0IKS S27,2634287,13314,8653
2013,BMW,X5,quam nec,KVE 9740,IL,GE91 CE43 2694 2701 1125 80,1595694,8482,2329
2012,Buick,LaCrosse,faucibus orci,BEF 7052,OH,BG83 EWWB 7234 640P JG0Z 3S,6609539,7374,3901
1994,Dodge,Colt,felis sed,FCP 5347,GA,NO70 3907 8069 359,4580665,16275,19988
2006,BMW,325,sed,KFV 0056,TX,AE08 9124 7848 6080 0439 815,5229664,7024,8549
2008,Chrysler,Pacifica,erat,DZJ 4643,WV,SA52 53WS F5OP KVAI MQXJ HGJH,3666084,10401,2536
2011,Suzuki,Kizashi,viverra,PEF 6115,AL,FR78 7256 3030 32MK YPNX TVSW L74,8874365,5905,16930
2000,Toyota,Ipsum,magna vestibulum,DEY 5534,NE,AT42 8478 4849 4615 2821,2325337,16560,15231
1996,Chevrolet,Blazer,cum,TVW 8423,CA,NL65 OJQD 5922 4597 74,4502573,16762,19260
2001,Mercedes-Benz,SLK-Class,ut odio,FDS 6253,IL,TN50 5575 9543 8604 6549 2597,2137773,9493,15443
1986,Mitsubishi,Tredia,eleifend,UPC 0879,IL,PS09 NZYR TTYY GDCT F9TV 9SMF NKJN K,1771325,14232,8891
1992,Chevrolet,G-Series G20,pede,OKF 7389,IN,IL54 2519 1261 2201 0082 286,0739933,12867,19165
2002,Ford,Th!nk,nunc donec,EFQ 6647,NC,IE14 BJMC 0756 9940 3293 83,0323808,15420,7848
2004,Suzuki,Vitara,quisque arcu,ELS 8191,MA,GB95 GCNN 5335 2808 4343 45,9918221,19356,19839
1992,Mercedes-Benz,190E,id pretium,OMQ 6303,MD,AZ80 MJKM YO3W OTT5 5TML KBFF KHUV,1282820,18240,17001
2009,Volvo,XC70,magna,FBL 2404,VA,FR11 8662 2090 55F3 JMIT 3R49 Z82,0751604,11487,16110
2005,Chevrolet,TrailBlazer,quisque id,HJV 2222,WV,MR64 7128 4753 2381 2963 3141 349,8665649,13441,11165
1995,Plymouth,Acclaim,quisque,DLP 4885,NY,FR88 2169 0116 298C UNMZ 7WKC A84,7629175,5513,10985
1998,Buick,Park Avenue,iaculis congue,QSL 1283,AK,BR53 2889 0570 4790 7632 4178 127Z P,4376455,10179,6822
1988,Pontiac,Sunbird,et ultrices,TKR 8674,CA,KZ24 536E EBC6 Q6X3 PAC0,1601748,19763,13991
2009,Mazda,CX-9,sollicitudin ut,NGU 7128,IL,SE72 7052 6322 3370 7471 4436,2936812,15704,16730
1999,BMW,7 Series,at,QRV 1655,OH,IS06 1652 8196 6569 0731 4503 33,6407047,7408,16735
2013,Ford,Edge,et magnis,SEA 0185,TX,EE35 2659 2528 2391 6309,6729613,3236,4300
1994,Land Rover,Defender 90,libero ut,KAY 4846,OH,CZ74 9319 8281 2674 5021 6897,5730582,5564,4631
2009,Ford,Explorer,neque,UOD 1055,MS,IE07 JVZS 4370 4203 7136 47,2619782,16627,10663
2007,Suzuki,Forenza,morbi,KUG 3225,WA,MU23 XUGO 6348 6192 3602 1351 072C QB,2786896,17381,17388
1992,Chevrolet,Beretta,maecenas,TUC 8371,AZ,NO85 1497 6457 555,0336609,9006,10630
1995,Suzuki,Swift,non ligula,BHQ 7776,ND,FR64 7786 1338 47MC UQUI RJMV Q65,8521978,3216,5129
1994,GMC,Sonoma,ac consequat,KRX 1294,TX,DE41 0489 6302 0184 2075 98,8450315,14185,13373
2010,Dodge,Challenger,ac,EUL 7641,MI,SM21 X948 7975 183N EG4C H7WI A8R,4895049,11680,8023
1993,GMC,Suburban 1500,orci luctus,HOI 9232,CA,AE82 2210 8881 3058 5771 352,8150491,8774,7767
2004,GMC,Canyon,duis,YVW 0426,NE,HU69 4631 1252 5889 3054 8031 7265,7344560,2866,7549
2004,Cadillac,SRX,consequat varius,DYL 6392,GA,FR70 4060 5038 78Z4 HULA E2WV F84,4678198,6755,14392
1998,GMC,Savana 2500,a,ZXN 1057,TX,FO20 6965 2389 9260 28,6231290,15844,13665
2002,Buick,LeSabre,pretium iaculis,DWS 6546,CA,NL96 MKVD 3943 4282 74,8059556,18770,10370
2011,GMC,Terrain,cursus vestibulum,MTL 2036,TX,FR63 0786 1077 22FY OR4X TZKR Q77,2565066,19491,6545
2000,Lamborghini,Diablo,tincidunt in,VDF 3046,KS,DK80 8120 0220 8256 06,7438572,19156,3544
1987,Mitsubishi,Tredia,donec,IXV 7434,NV,TR94 1428 6JWJ XCXV ZYWH SKSS TO,1647615,3626,14167
2005,Hummer,H2,blandit,BHF 7210,OK,FR10 8720 0386 78IM FQQN TGPR M53,2347945,2474,16354
2000,Ford,Taurus,duis,DEK 4109,MI,FR17 8899 7517 91FU SBUH 9QJV Q98,3653301,7339,10993
2006,Morgan,Aero 8,feugiat,SEO 0677,MA,FR90 0505 4998 38JF U0DW 9K6X P72,7464301,8841,17708
1999,Audi,A8,nulla,JAK 1441,FL,GB84 SHOQ 0693 8427 9997 60,4326844,19893,4091
1996,Nissan,Altima,in hac,ZXU 8206,AK,CY02 1742 0927 GF9E UCUF ZT69 4F1S,3018283,11549,10995
2001,Toyota,Celica,nonummy maecenas,PSO 5122,CA,IL91 2311 8870 4198 7775 817,2866684,8522,7247
1993,Saturn,S-Series,scelerisque mauris,DIN 0636,VA,MT40 IPEU 8674 353X Q1HQ GMJI HZWM 7PS,3270206,19483,6689
1999,Cadillac,Escalade,vestibulum,BTK 1864,TX,KZ47 5226 WD8G MDIH KE7T,8731337,8500,15735
1986,Audi,4000s,pede,ZNB 1361,TX,FR24 5568 1855 88PH QOMW RQQD M17,3382891,16419,4931
2009,Lamborghini,Murciélago,donec posuere,UVN 9950,SD,KZ91 468I B6OC 31FW RU9R,9391926,19407,6872
1978,Dodge,Omni,adipiscing lorem,EQW 5035,GA,BH53 NNWU GHSA OVBL E3H5 LE,8969538,4751,3299
2011,Aston Martin,DB9,a suscipit,ZIQ 6499,DC,KZ33 821N RFLP 7AFJ F9JK,9907514,12209,16884
2008,Hyundai,Veracruz,pharetra,LIJ 5297,OK,FR10 2490 3236 183F VR3O 0U0B M07,5890717,7543,2255
2007,Bentley,Continental,maecenas,BJM 7134,MI,SA16 20FM IOTI P9EK CRMS NTJZ,3516497,5483,19335
1995,Pontiac,Sunfire,sagittis nam,UYV 4319,TN,TN76 0044 3658 2210 5031 2027,7043245,16240,11346
2012,Aston Martin,V8 Vantage,curae mauris,ZIR 7490,NY,SM62 W906 9310 1287 X7NB WSGY FXF,8577074,3036,15951
2006,Saturn,Relay,eget congue,EKC 0839,CA,GI82 QTEB RIQJ MHJC QH88 DJX,9149187,13193,4927
2002,GMC,Sierra 1500,cras,CUL 2251,MI,HR13 8039 1174 5339 9845 4,4551786,10147,6142
1986,Buick,Century,duis aliquam,YKL 6207,DC,AT22 2495 4020 1004 7868,1459680,4335,7261
1991,Eagle,Talon,consequat metus,SRV 9775,CA,SK75 9666 8154 1196 6658 2962,3025825,2901,7572
1986,Mercury,Marquis,fringilla,BLN 9320,LA,CZ31 5167 6770 0338 4782 8018,9880643,2137,5762
1996,Dodge,Dakota Club,non velit,BDU 0490,MO,BE40 1148 5078 2988,8688786,8244,18592
2001,Chevrolet,S10,libero nam,DBC 5948,NJ,NL81 NWXC 7347 7152 54,4567582,6705,7010
