make,model,trailer_type,serial_number,license_number,trailer_state,trailer_description,empty_weight,registered_weight,regulation_weight
Suzuki,Swift,suspendisse potenti,IS78 3317 0175 6498 9226 4485 72,023 AIP,OH,Suzuki-Swift License #: 023 AIP,14489,9604,6105
Dodge,Ram Van 3500,sit,CZ53 4763 2160 7926 6397 0473,599 VWH,MD,Dodge-Ram Van 3500 License #: 599 VWH,2902,2122,7068
Mercedes-Benz,E-Class,in ante,CZ25 9639 5208 2590 5974 7799,409 CBF,CA,Mercedes-Benz-E-Class License #: 409 CBF,6787,7142,7537
Mercury,Topaz,duis,LI44 6238 41UX ZVVO TIG6 Q,209 UYQ,CA,Mercury-Topaz License #: 209 UYQ,17432,16462,18585
Chevrolet,Suburban 1500,ut,PK80 LGVA PLLC KRX4 60MC QKCV,246 WJB,MI,Chevrolet-Suburban 1500 License #: 246 WJB,3152,9270,8940
MG,MGB,quis augue,DO25 KLVD 9005 3962 6492 3877 2634,737 KFZ,TN,MG-MGB License #: 737 KFZ,4572,17753,4165
Nissan,Titan,pede justo,PK84 WFJB JDIQ CQU1 NBI4 BSL5,722 RBM,AL,Nissan-Titan License #: 722 RBM,4409,15424,3005
Volkswagen,Golf,non,NO14 5273 5367 533,525 DPX,MN,Volkswagen-Golf License #: 525 DPX,16134,17164,2856
Pontiac,Firebird,dapibus,KW85 EINH UT1P U34Q V5UW XDWD YMTW BS,712 HRY,VA,Pontiac-Firebird License #: 712 HRY,19761,4780,12590
Maserati,Spyder,eu mi,LT13 2501 2245 9893 4926,882 LNH,TX,Maserati-Spyder License #: 882 LNH,10989,9199,13216
Pontiac,Fiero,sit amet,FR03 0890 3148 63ZN BPF9 APXG 000,299 MTQ,FL,Pontiac-Fiero License #: 299 MTQ,17081,13911,14283
Mitsubishi,Cordia,elit,CZ41 1336 2017 1760 6816 5560,265 NQI,FL,Mitsubishi-Cordia License #: 265 NQI,18306,6940,6462
Ford,F-Series,rutrum,RS88 1888 1818 4881 2131 66,166 YQP,FL,Ford-F-Series License #: 166 YQP,9409,3372,15198
Porsche,Cayman,venenatis lacinia,PT13 6912 1149 1447 7247 9042 2,754 MVU,NY,Porsche-Cayman License #: 754 MVU,8147,2435,6822
Ford,Taurus,arcu adipiscing,DK65 1139 5545 3362 46,019 FKR,SC,Ford-Taurus License #: 019 FKR,14421,5830,3185
Subaru,Tribeca,volutpat,LV96 HVHA TH3K QQAO SEA9 V,276 COB,MA,Subaru-Tribeca License #: 276 COB,12224,16370,15179
Audi,Coupe GT,viverra diam,PS17 GKJL ZIYW DOI0 KMM1 M8QW ZFCI 4,505 ORF,NY,Audi-Coupe GT License #: 505 ORF,7725,16136,17469
Bentley,Continental Super,porttitor lacus,ME13 0396 7558 2839 7121 42,678 AEO,TX,Bentley-Continental Super License #: 678 AEO,13913,13917,15190
Mitsubishi,Pajero,erat,FR74 6363 8273 75AP GTJW BEIP Q72,223 CPY,TX,Mitsubishi-Pajero License #: 223 CPY,18002,11634,4982
Plymouth,Voyager,eleifend,MC90 1775 5216 04CP JHEV PICY A28,128 ULY,WA,Plymouth-Voyager License #: 128 ULY,16157,10147,15009
Mercedes-Benz,SL-Class,etiam,GE06 CV51 3651 1755 9953 21,774 XWY,NY,Mercedes-Benz-SL-Class License #: 774 XWY,6541,13198,12416
Volkswagen,Golf,amet nunc,KZ20 175R BO4S QVND VCPH,107 JSZ,MI,Volkswagen-Golf License #: 107 JSZ,15688,9817,6973
Mercedes-Benz,CLS-Class,a,MU66 OULV 1451 8837 2569 0264 737O GQ,629 LVH,OK,Mercedes-Benz-CLS-Class License #: 629 LVH,16424,8327,8316
Pontiac,6000,sed,KW91 PFJE XT9V N6GI U173 W5XH BQI3 KB,984 BRG,OR,Pontiac-6000 License #: 984 BRG,3723,3538,11888
Land Rover,Range Rover,sit amet,BH27 BMNT PPUV QVYT FQMT SO,650 IDK,IL,Land Rover-Range Rover License #: 650 IDK,19980,7998,10032
Ford,Mustang,quam sapien,DE33 8830 5547 6612 3434 16,523 AMY,FL,Ford-Mustang License #: 523 AMY,15233,2728,13897
Subaru,Legacy,elementum nullam,KZ97 119B SYW6 SEEF MRNX,144 GZU,FL,Subaru-Legacy License #: 144 GZU,4459,14640,14614
Chevrolet,Astro,eu est,MR78 1932 7208 0022 3448 5159 698,294 DLK,TX,Chevrolet-Astro License #: 294 DLK,14772,11902,17102
Nissan,NX,penatibus,LU60 718J EPMI RZIL UFIS,445 HPB,NY,Nissan-NX License #: 445 HPB,12723,9706,9020
Audi,S8,nam tristique,LT27 7551 6630 7240 7425,060 YNK,FL,Audi-S8 License #: 060 YNK,13518,10882,9537
Chevrolet,Corvette,ac,PK06 KWNR EVN5 WEVW VVFL GMNZ,581 PNO,AZ,Chevrolet-Corvette License #: 581 PNO,13570,5153,13495
Ford,LTD,volutpat convallis,MD83 GDYQ 0UW3 7903 YZLQ 86UJ,320 DYT,TN,Ford-LTD License #: 320 DYT,9748,5289,10849
Lexus,IS,dapibus augue,CR81 2720 1164 7193 8143 6,975 CXY,CA,Lexus-IS License #: 975 CXY,9316,14461,10778
Lexus,GX,erat,TN46 3398 8581 0570 3800 9287,861 PUM,KS,Lexus-GX License #: 861 PUM,9096,2826,9388
Mazda,Mazdaspeed6,nam,RO72 VOEB SDND I62A 2YVS BEVR,231 DIT,NY,Mazda-Mazdaspeed6 License #: 231 DIT,3508,4265,11194
Toyota,Camry Hybrid,magnis dis,NL43 JPPK 1503 1916 67,947 MEI,CA,Toyota-Camry Hybrid License #: 947 MEI,11709,7632,11261
Isuzu,Oasis,neque,PK71 HGQI O8EK KG0B APNR RIXF,082 RCD,NJ,Isuzu-Oasis License #: 082 RCD,6214,6247,5884
Chevrolet,Lumina,mauris lacinia,BH42 LUJB JZNW ANR0 G4XF BK,177 LQF,VA,Chevrolet-Lumina License #: 177 LQF,4504,10680,8734
Hyundai,Sonata,ut volutpat,SI69 7295 5979 1973 173,515 FDB,HI,Hyundai-Sonata License #: 515 FDB,11864,7242,8533
Nissan,GT-R,eu,BA07 4959 4145 1686 9510,711 RLU,IL,Nissan-GT-R License #: 711 RLU,13113,9227,7330
Daewoo,Leganza,viverra,ME65 5733 7304 3966 7674 19,077 NMO,ID,Daewoo-Leganza License #: 077 NMO,17987,5671,18844
Ford,Freestar,diam,FR02 3518 3357 78FG 416J P8XF X17,879 TUV,PA,Ford-Freestar License #: 879 TUV,18251,3987,7896
Dodge,Caravan,non,SE77 2231 0254 3407 4633 1021,381 RAY,MD,Dodge-Caravan License #: 381 RAY,5164,19857,15058
Acura,Legend,amet cursus,BA48 6870 7315 8988 7834,013 CPU,NC,Acura-Legend License #: 013 CPU,3201,4451,13372
Chevrolet,Avalanche,accumsan felis,FR86 2674 8841 96AU VKKF GH0Q W02,094 HGV,MA,Chevrolet-Avalanche License #: 094 HGV,17137,17107,16859
Mazda,CX-9,magna bibendum,LB95 7794 IFX5 AW0S OY0D 7BRY ALV8,179 NUR,VA,Mazda-CX-9 License #: 179 NUR,14437,19574,19221
Chrysler,Sebring,molestie,PS32 EKTV K1SA VZ2H PPEF 7OTI XUTK O,432 EFU,MT,Chrysler-Sebring License #: 432 EFU,3460,9211,17173
Mazda,Protege,eu,FO08 5054 3051 1713 98,478 NQM,GA,Mazda-Protege License #: 478 NQM,3057,19518,2595
Daewoo,Leganza,ipsum,FR80 2833 1171 34BN JXEC PPJC B44,246 XSJ,AK,Daewoo-Leganza License #: 246 XSJ,10749,2653,13679
Chevrolet,Astro,vulputate,TR03 7733 0GXJ LBIK VPET RVPF EB,205 AKE,CT,Chevrolet-Astro License #: 205 AKE,4961,9749,10144
Ford,Mustang,mauris,AE81 3611 0662 8335 4034 115,230 IRX,WA,Ford-Mustang License #: 230 IRX,11175,19441,10914
Toyota,FJ Cruiser,et,FR96 3874 5156 00KS RJ15 8KIX M58,311 CGP,ID,Toyota-FJ Cruiser License #: 311 CGP,10541,15285,16837
MINI,Cooper,eros,FR54 1557 3796 61NK FFYY OMGU J61,275 RFE,AZ,MINI-Cooper License #: 275 RFE,16124,15853,17079
Volkswagen,Golf,montes,BA68 4324 9817 5691 1458,506 GKS,CA,Volkswagen-Golf License #: 506 GKS,8803,14962,4661
Mazda,CX-7,eleifend,SA74 96AL 6M8G YUBZ COOK IWQL,522 VJN,TX,Mazda-CX-7 License #: 522 VJN,12988,2261,13539
Ford,Freestar,venenatis,BR84 4395 1584 2468 7713 7326 553A G,121 WRD,TX,Ford-Freestar License #: 121 WRD,11179,15645,4239
Ford,Bronco II,luctus,TR09 9596 0DAP AAHR LSYI CDMY T9,932 SDM,VA,Ford-Bronco II License #: 932 SDM,13204,12564,15194
Isuzu,Rodeo,justo pellentesque,CH73 8032 5QFM YST7 QUBK I,173 PIL,GA,Isuzu-Rodeo License #: 173 PIL,7474,7016,16703
Suzuki,Grand Vitara,lobortis sapien,LB97 8539 OSFO RFBU NUCB 8PDV YEDG,408 CYN,TN,Suzuki-Grand Vitara License #: 408 CYN,16655,15904,6403
Holden,VS Commodore,rhoncus,FO15 2820 4914 9199 13,321 TIP,CA,Holden-VS Commodore License #: 321 TIP,8054,16104,14999
Suzuki,Vitara,rutrum,BA15 3831 5265 2183 5590,311 GJU,TX,Suzuki-Vitara License #: 311 GJU,14706,18102,4219
Lincoln,Navigator,vel sem,GL76 3465 4377 4719 99,606 JFK,NY,Lincoln-Navigator License #: 606 JFK,11433,9636,11880
Nissan,NX,nam ultrices,BR26 7504 9510 5360 9203 1966 291F N,341 GRC,MI,Nissan-NX License #: 341 GRC,2984,16028,18226
Pontiac,GTO,consequat metus,LU50 916L 3YFR 1ISI OUVB,099 RIO,AL,Pontiac-GTO License #: 099 RIO,3340,19090,4620
Audi,80,aenean sit,AE75 2705 7931 0806 5284 032,219 OQP,FL,Audi-80 License #: 219 OQP,15746,3192,17954
Mitsubishi,Lancer Evolution,sit amet,NL78 ONFD 3488 1011 24,003 DQH,IL,Mitsubishi-Lancer Evolution License #: 003 DQH,2398,18026,19798
Aston Martin,Vantage,eget eros,MC80 8259 4167 003O ZEBP T8JR 138,979 TYQ,AR,Aston Martin-Vantage License #: 979 TYQ,2496,7686,3066
GMC,Yukon XL 1500,urna ut,FR29 6082 9865 47ZT HWW0 Q0H9 U20,237 ZKC,MO,GMC-Yukon XL 1500 License #: 237 ZKC,7198,18191,19335
Land Rover,Discovery,vehicula,MK55 459H 48QP W2VG I84,010 HMD,IL,Land Rover-Discovery License #: 010 HMD,2202,12476,15628
Jaguar,XJ Series,in hac,FR89 0933 3047 30YS MWK8 QWYB 070,435 AQR,KY,Jaguar-XJ Series License #: 435 AQR,6140,4820,17154
Isuzu,Rodeo,mattis,GT09 OWW0 8OKB YE3G IUFB EO0R KOTC,460 CRM,KY,Isuzu-Rodeo License #: 460 CRM,9389,11327,12512
Toyota,Land Cruiser,sit,FR50 1891 6526 30XZ LDE3 XBVY 765,852 WVZ,KS,Toyota-Land Cruiser License #: 852 WVZ,3713,11575,3872
Chevrolet,G-Series G10,nisl venenatis,GE25 LZ21 3209 3692 5535 02,098 PRE,CA,Chevrolet-G-Series G10 License #: 098 PRE,5441,2538,14708
Toyota,Highlander,eu felis,IS07 2549 1444 5225 9289 6141 50,340 XZY,CO,Toyota-Highlander License #: 340 XZY,12015,9183,13250
Plymouth,Horizon,scelerisque mauris,PK25 QZHB LGSY 8EBN MOY1 LMW5,503 TYL,OR,Plymouth-Horizon License #: 503 TYL,4261,17409,13564
Mazda,Millenia,nulla pede,IL62 9901 6216 4911 7051 461,742 VKT,IN,Mazda-Millenia License #: 742 VKT,12470,2364,4084
Oldsmobile,Bravada,turpis integer,BR91 8817 4953 7756 7692 5956 971W 4,368 AER,FL,Oldsmobile-Bravada License #: 368 AER,12476,9845,6083
Mercury,Tracer,ac,BH22 YIDE 0KXV GC1R C2FA VP,557 JVI,OH,Mercury-Tracer License #: 557 JVI,2693,11418,12730
Mazda,Protege,nulla neque,FR73 5090 5097 208H 8OU4 O8U8 C06,390 CGX,FL,Mazda-Protege License #: 390 CGX,3672,17875,16291
Hyundai,Scoupe,velit,BE54 5512 3536 5637,485 ETN,CO,Hyundai-Scoupe License #: 485 ETN,2884,16540,16585
Infiniti,FX,cum sociis,DE37 5411 9675 6991 7467 03,826 BVY,NC,Infiniti-FX License #: 826 BVY,9980,9978,14374
Ford,Mustang,integer,ME17 7225 0350 8820 5795 71,521 VZL,CA,Ford-Mustang License #: 521 VZL,6808,17067,6864
GMC,Savana,sapien,HR08 9569 8365 9459 9710 5,292 IQL,CT,GMC-Savana License #: 292 IQL,8264,11020,12165
Toyota,Tacoma Xtra,non sodales,MK41 921H YHWB 09C5 J47,600 BAU,IA,Toyota-Tacoma Xtra License #: 600 BAU,14711,16399,2449
Lexus,ES,fusce,FR65 2864 7520 63EK ZTEA 2ZE2 Z70,564 OEF,CA,Lexus-ES License #: 564 OEF,6909,16669,7923
Audi,Coupe GT,nec,NO86 5300 8161 762,533 HMN,CA,Audi-Coupe GT License #: 533 HMN,13723,2831,3361
Ford,Laser,bibendum morbi,SA17 72NY E7U1 VFHA U4SF QKNN,320 ECF,FL,Ford-Laser License #: 320 ECF,16292,8030,19217
Suzuki,SJ,quis,FO62 6570 4591 6265 71,492 NAZ,NV,Suzuki-SJ License #: 492 NAZ,12748,13081,10179
Mercedes-Benz,CL-Class,nulla,HU63 9415 4237 0296 2475 8565 3946,206 HWC,CA,Mercedes-Benz-CL-Class License #: 206 HWC,14867,16457,16945
GMC,Sonoma Club Coupe,quis,AZ35 PSVF KMRV UN7C F29J UF6B NY0Y,222 RNZ,SD,GMC-Sonoma Club Coupe License #: 222 RNZ,11914,13378,11597
Lincoln,MKX,id mauris,FR54 2797 3333 75F4 5IXE V5HI M99,711 WXO,IA,Lincoln-MKX License #: 711 WXO,14208,4851,2602
Saturn,VUE,eu,KW78 UHMO YWJS TZV7 W2G3 ZNUW PY85 VB,763 ULX,KS,Saturn-VUE License #: 763 ULX,14831,4675,19050
Bentley,Mulsanne,phasellus in,DE30 1399 5571 2719 8780 11,443 GNL,AL,Bentley-Mulsanne License #: 443 GNL,14490,17112,10641
Maybach,57,tincidunt nulla,MR30 9158 7526 7926 2133 1206 934,607 VEK,MI,Maybach-57 License #: 607 VEK,7154,9715,9450
Mercedes-Benz,E-Class,justo,CH80 9727 69P6 KG93 FB1P 6,912 VUL,TX,Mercedes-Benz-E-Class License #: 912 VUL,2485,4933,18784
Mercedes-Benz,SLK-Class,odio elementum,KZ79 364L FTEN GIKO 7JTD,567 ADG,IA,Mercedes-Benz-SLK-Class License #: 567 ADG,7246,5794,11747
Ford,Fairlane,ultrices,FI11 1613 2210 4653 19,888 BMU,TX,Ford-Fairlane License #: 888 BMU,2127,6040,7183
Dodge,Ram 1500 Club,sed vestibulum,PK14 RIUQ 5E1G QHPJ RCTF UZAU,937 LFZ,AR,Dodge-Ram 1500 Club License #: 937 LFZ,3183,10495,16541
Ram,2500,arcu,DK34 1024 5154 9000 76,460 RTI,CA,Ram-2500 License #: 460 RTI,4014,9395,9024
Acura,NSX,primis in,FR11 5387 0934 52XK 4HGO KSCH 674,329 ZQC,CA,Acura-NSX License #: 329 ZQC,5504,12114,6854
Daewoo,Leganza,justo in,RO47 PZNW IFUI JFJ7 9JYC RTCF,834 FIV,NJ,Daewoo-Leganza License #: 834 FIV,12361,8991,14429
Toyota,Solara,elementum ligula,FR24 4039 1462 85GK ZOWA TTTV O52,128 NVU,VA,Toyota-Solara License #: 128 NVU,4796,3827,14448
Mercury,Grand Marquis,donec diam,GB02 WACK 2319 9112 3548 58,544 DEQ,CT,Mercury-Grand Marquis License #: 544 DEQ,19412,6723,3595
Aptera,Type-1h,curabitur convallis,ES12 1534 6226 4066 2643 2878,893 NRB,NY,Aptera-Type-1h License #: 893 NRB,8654,10867,17986
Saturn,VUE,fusce,PL79 9886 2065 3585 9946 1445 5798,098 LAI,AZ,Saturn-VUE License #: 098 LAI,4311,12836,12279
GMC,Sierra 2500,ut massa,KW92 LOPE N9C1 BE7K SJON ZCU9 VKLT NF,348 SIU,MA,GMC-Sierra 2500 License #: 348 SIU,4120,3823,13144
Mazda,626,lorem quisque,VG67 FMXT 2148 5536 9882 7264,429 JNP,MN,Mazda-626 License #: 429 JNP,4636,7309,6318
Lincoln,Continental Mark VII,eu interdum,FO35 5276 5937 9671 40,080 NRY,IN,Lincoln-Continental Mark VII License #: 080 NRY,11783,8471,2249
Mercedes-Benz,W201,nec sem,IL25 1090 3479 6205 4512 163,496 RTB,NC,Mercedes-Benz-W201 License #: 496 RTB,16985,5021,10671
Ford,Expedition,vulputate luctus,KZ98 958P REFT ZCNN JE4S,074 EJG,MS,Ford-Expedition License #: 074 EJG,17351,18391,4907
Mercury,Monterey,neque,IT28 H860 9986 216A 3SVP CESR UZ5,334 HNZ,CA,Mercury-Monterey License #: 334 HNZ,8289,15071,18715
Chevrolet,S10,nec,PK61 PCMW D5B6 T65I 6ZOL KCBE,732 TSC,VA,Chevrolet-S10 License #: 732 TSC,7647,12904,17960
Mazda,B-Series Plus,ut nulla,GI82 CBPW 4PAW GZW1 YT9K HHY,693 VYJ,TX,Mazda-B-Series Plus License #: 693 VYJ,15965,19461,14530
Acura,RSX,donec,AL72 3962 4344 XD7T BVVF UIOP CW82,526 FZS,MD,Acura-RSX License #: 526 FZS,18120,3829,12779
Suzuki,Samurai,posuere,SI41 1016 1099 0981 286,374 YWC,OR,Suzuki-Samurai License #: 374 YWC,11824,16813,16344
Chevrolet,Silverado 2500,a ipsum,CR65 4077 3777 2399 4916 1,597 YKT,GA,Chevrolet-Silverado 2500 License #: 597 YKT,18496,11094,19993
Volvo,V40,mollis molestie,LU28 296Z TBN7 LEBC RJW1,159 RYG,FL,Volvo-V40 License #: 159 RYG,2812,3402,14745
Saturn,S-Series,luctus et,FR07 6881 0176 83P9 69M7 57QW O77,326 BZP,ND,Saturn-S-Series License #: 326 BZP,6896,12684,4432
Volkswagen,riolet,neque,ES69 1595 9817 3790 9793 3894,825 TMQ,OH,Volkswagen-riolet License #: 825 TMQ,11917,16185,11516
Acura,RL,blandit ultrices,CZ57 7574 2142 4332 4244 9664,895 WPU,CA,Acura-RL License #: 895 WPU,2267,2961,5764
Toyota,Tundra,fusce,RO96 ZGVA 6XZP JOTU 90LJ 9NMZ,033 CEI,MI,Toyota-Tundra License #: 033 CEI,18438,15641,13238
Porsche,Boxster,platea,SM41 U544 8026 166G GHXL WEWO P5E,341 OLT,KS,Porsche-Boxster License #: 341 OLT,11022,9061,7662
Honda,Odyssey,quisque,AD80 5003 9040 1H4S HCNZ TQR5,147 ATE,MI,Honda-Odyssey License #: 147 ATE,4415,17031,4082
BMW,7 Series,mattis,BG43 PSBP 6399 89XT MGTX YS,331 ZQI,WA,BMW-7 Series License #: 331 ZQI,12263,4944,18136
Mazda,626,enim,PK53 MUSP QO8E 14JO OP5B OZR4,185 VTN,PA,Mazda-626 License #: 185 VTN,19000,8101,17922
Jeep,Liberty,dui,BR29 5882 7824 0758 8438 3306 477U X,345 CWU,NC,Jeep-Liberty License #: 345 CWU,4082,18628,15914
Mitsubishi,Endeavor,dapibus,GT89 WNIR JQR8 KFZT NV8X BI71 VWF6,839 PEJ,TX,Mitsubishi-Endeavor License #: 839 PEJ,11708,17257,18907
Chevrolet,Suburban,amet cursus,RO96 VVUO QV96 XLHT GLIX VNAS,512 ERV,CA,Chevrolet-Suburban License #: 512 ERV,12950,2033,16631
Audi,A8,justo in,IS11 7996 6894 1417 0670 9169 25,060 LTS,CA,Audi-A8 License #: 060 LTS,4143,2103,15745
Dodge,Ram Wagon B150,scelerisque mauris,RS17 1043 6403 0898 8364 31,524 KGE,VA,Dodge-Ram Wagon B150 License #: 524 KGE,9752,2037,8164
Porsche,Cayenne,rhoncus,RS46 2153 0082 8454 4011 91,633 PHK,NY,Porsche-Cayenne License #: 633 PHK,18695,4214,9898
Cadillac,Escalade,turpis eget,IS06 7321 2406 7383 2800 2155 01,933 HJQ,NY,Cadillac-Escalade License #: 933 HJQ,11509,14835,14640
Ford,Econoline E250,praesent,EE18 8760 3183 6857 1069,379 SEO,FL,Ford-Econoline E250 License #: 379 SEO,18585,18405,6555
Infiniti,QX,nulla facilisi,GL28 3402 5554 8477 88,657 YJC,NC,Infiniti-QX License #: 657 YJC,8773,15507,5714
Subaru,Legacy,montes nascetur,FR34 6413 0517 11YH KMYQ 3SXD G27,630 LRZ,OH,Subaru-Legacy License #: 630 LRZ,14742,18861,2258
GMC,Sierra 3500,nunc,CZ39 5424 0660 2188 2834 5363,046 OIR,MI,GMC-Sierra 3500 License #: 046 OIR,10832,12775,17654
Mercedes-Benz,E-Class,fusce,IS75 9870 8864 5043 6631 1825 72,321 UWO,TX,Mercedes-Benz-E-Class License #: 321 UWO,7484,14867,11305
Audi,RS6,dapibus,FR17 0195 7945 21PI EGI1 PARU Q23,828 HKT,AL,Audi-RS6 License #: 828 HKT,8685,18310,15333
Lincoln,Navigator,risus auctor,BG81 UKFC 5724 02LM PHBV VT,685 VYZ,AR,Lincoln-Navigator License #: 685 VYZ,15085,16348,10722
Honda,Accord,dolor sit,NO13 2260 1110 095,730 RKX,IA,Honda-Accord License #: 730 RKX,6941,10444,19214
Dodge,Ram 1500,mattis,MR79 2106 8221 0104 3766 7449 188,885 PZU,FL,Dodge-Ram 1500 License #: 885 PZU,8769,17630,12195
Chevrolet,Suburban 2500,vitae,MK85 076W CALU AWRD H49,750 DNL,NV,Chevrolet-Suburban 2500 License #: 750 DNL,11353,16892,19315
Chevrolet,Corvette,id nisl,DO72 28KL 9632 5405 9971 4188 5107,400 HEL,FL,Chevrolet-Corvette License #: 400 HEL,2691,10362,10774
MINI,Cooper Clubman,sed,DO74 KJWK 0433 3322 2999 4280 5280,775 PJA,VA,MINI-Cooper Clubman License #: 775 PJA,9005,7955,15915
Mitsubishi,Precis,id,ES71 7587 9720 1032 1862 0172,860 OGH,NJ,Mitsubishi-Precis License #: 860 OGH,6608,5895,18457
Acura,RDX,dapibus augue,PS50 IGPL HYYS IYYY YXIR H7CT IDOO F,123 COF,MO,Acura-RDX License #: 123 COF,3948,8070,11618
Isuzu,Hombre Space,tincidunt eget,AZ58 LQDG ENOT XHQG DZRD 1UEI ZV9E,751 NHU,CA,Isuzu-Hombre Space License #: 751 NHU,11513,16569,11484
Toyota,Land Cruiser,felis,FR85 4349 1941 62AG 92O3 UKZC 384,078 AUG,GA,Toyota-Land Cruiser License #: 078 AUG,3890,4193,12370
Ferrari,612 Scaglietti,fermentum donec,MU33 ZBFD 7689 6077 0943 9476 117E CA,460 YIK,HI,Ferrari-612 Scaglietti License #: 460 YIK,3052,4461,9930
Jaguar,XK,mauris,AZ86 VRLP FN8J YF3S AVRQ IF8P I76Q,751 YJA,TX,Jaguar-XK License #: 751 YJA,8236,5635,6739
Honda,Civic,quisque,AD44 9708 7584 C7RQ SCSG IS88,929 JEK,NC,Honda-Civic License #: 929 JEK,14114,16294,14465
Pontiac,Chevette,interdum,KZ86 979X BKVR GSFS AP9X,225 EQL,KY,Pontiac-Chevette License #: 225 EQL,4273,3673,6839
Lexus,ES,diam,BE43 4209 5751 5307,136 IXR,KS,Lexus-ES License #: 136 IXR,14897,14066,18435
BMW,5 Series,luctus,IE36 HEYF 1767 8469 2511 45,140 UMB,TX,BMW-5 Series License #: 140 UMB,17611,4142,17422
Acura,TL,sit,GI30 PPXH AVRR EYLY KMNM 7P9,158 KGB,NM,Acura-TL License #: 158 KGB,11929,9693,12363
Mazda,RX-7,ridiculus mus,KZ76 780J TU6S JJOQ LLBO,320 PDT,LA,Mazda-RX-7 License #: 320 PDT,2076,8970,13499
Infiniti,FX,nibh,FR34 7923 6349 546L MFO7 RGDO W98,807 IDQ,MN,Infiniti-FX License #: 807 IDQ,9015,5802,5246
Lamborghini,Murciélago,in,PL18 6050 1000 9316 7950 4347 1463,467 BGF,CO,Lamborghini-Murciélago License #: 467 BGF,15138,9742,8573
Dodge,Dakota,sodales,MT64 DYLR 3216 3KUP 5N3G 6MQX OX4J D7Q,204 OUR,FL,Dodge-Dakota License #: 204 OUR,16135,6564,16768
Lincoln,Town Car,molestie sed,TR90 9313 7NHZ NZEC 2T5W 7XVQ TH,718 GQM,IA,Lincoln-Town Car License #: 718 GQM,14329,14717,4655
Chevrolet,Prizm,in,DE83 2580 6056 2654 9085 63,796 DWP,OK,Chevrolet-Prizm License #: 796 DWP,18395,2169,14976
Chevrolet,HHR,proin risus,FO41 1143 0457 2422 64,458 MDA,TX,Chevrolet-HHR License #: 458 MDA,2074,9271,6003
Mercury,Milan,vestibulum,DE30 2526 1194 0072 7664 68,105 YHO,IN,Mercury-Milan License #: 105 YHO,19019,9775,4910
GMC,Savana,in blandit,FR14 0550 6009 55ZS 3HRY 8OYF W90,047 ZUI,NY,GMC-Savana License #: 047 ZUI,19301,6082,11972
GMC,Yukon,consectetuer eget,GI28 WMRC F0L0 YWQX TJNX 6GB,937 TJL,GA,GMC-Yukon License #: 937 TJL,12344,19291,17513
Geo,Storm,magna,GB69 XRES 0665 9015 4914 43,377 CGW,AR,Geo-Storm License #: 377 CGW,9069,16005,19984
Audi,Q7,a ipsum,FR87 3949 3732 71R7 Z3C2 NB4I U53,147 LRB,AZ,Audi-Q7 License #: 147 LRB,15626,15327,5821
Chevrolet,Silverado,dapibus,PK93 TWRL NNZB EUB5 I0XW GWND,282 RPD,CA,Chevrolet-Silverado License #: 282 RPD,11430,14688,9304
Hyundai,Tiburon,dictumst aliquam,MD52 NBVD WMA7 MINR ZW4F R5HT,868 WPG,TX,Hyundai-Tiburon License #: 868 WPG,15830,16797,15301
BMW,M,aliquam,FR79 6435 4556 275I IC5K 11U5 R00,898 QYH,MN,BMW-M License #: 898 QYH,16219,6983,16705
Lexus,SC,augue quam,IT09 V379 8132 394N XLOR EPMS NNK,610 ZBM,CA,Lexus-SC License #: 610 ZBM,16334,9733,18702
Mercedes-Benz,500E,odio,GL49 6927 7370 4509 56,433 UFO,OH,Mercedes-Benz-500E License #: 433 UFO,18329,8908,8164
Toyota,Tacoma,lobortis est,AD25 6057 1544 SVRA 3P5U 95DU,281 SZH,CT,Toyota-Tacoma License #: 281 SZH,5180,12220,19213
Ford,F150,sociis natoque,NO76 7093 0446 870,700 VDI,TX,Ford-F150 License #: 700 VDI,6419,15721,13027
Oldsmobile,Silhouette,tortor quis,KZ35 3848 LYXC ORFZ BVME,081 OSR,DE,Oldsmobile-Silhouette License #: 081 OSR,8171,12119,8067
GMC,1500,erat curabitur,LB77 7859 WPK8 MQYP NDBQ EHXC ZP9K,416 RXG,PA,GMC-1500 License #: 416 RXG,9185,4092,9637
BMW,3 Series,vestibulum,BR14 6541 2660 3628 6036 1125 534D D,268 YNT,TX,BMW-3 Series License #: 268 YNT,8720,16963,6738
Mazda,RX-8,turpis nec,CH31 4776 260W GIXQ J6FM O,054 TWF,AZ,Mazda-RX-8 License #: 054 TWF,6493,2829,14131
Nissan,Murano,ac,LI46 4729 1TKS YN1T Y7EB K,597 IYC,FL,Nissan-Murano License #: 597 IYC,8982,5643,15933
GMC,Sierra 2500,ut rhoncus,GI27 ELBZ 9YS8 HAZK ZBIT 71Y,250 AWB,FL,GMC-Sierra 2500 License #: 250 AWB,15351,17489,12873
Toyota,Tercel,porta,SA82 71FG WEUP FB8H 7DUW VDLF,533 AYP,FL,Toyota-Tercel License #: 533 AYP,5776,13571,18443
Cadillac,Escalade EXT,duis,FR25 7917 5276 833R IHBR FD4M Y17,807 LGE,CO,Cadillac-Escalade EXT License #: 807 LGE,15209,4825,11245
Toyota,T100,felis sed,FR75 6304 3070 26CW 5DEU QSHJ W70,685 YJT,NY,Toyota-T100 License #: 685 YJT,7284,12408,10561
